年度	流行词	英文翻译
1949	新中国	People's Repubic of China
1950	抗美援朝	War to resist US aggression and aid Korea
1951	好好学习，天天向上	study hard and make progress every day
1952	简体字	simplified Chinese
1953	五年计划	five-year plan
1954	全国人民代表大会	National People's Congress
1955	粮票	food coupon
1956	公私合营	public-private partnership
1957	广交会	Canton Fair
1958	人民公社	the people's commune
1959	妇女能顶半边天	women hold up half the sky
1960	归国华侨	returned overseas Chinese
1961	铁人王进喜	"Iron Man" Wang Jinxi
1962	铁饭碗	iron rice bowl
1963	学习雷锋	learn from Lei Feng
1964	东方红	The East is Red (an epic song-and-dance show)
1965	六五式军服	'65-style military uniforms
1966	红宝书	quotations from Chairman Mao
1967	氢弹	hydrogen bomb
1968	知青	educated youth
1969	红旗渠	The Red Flag Canal
1970	两弹一星	two bombs and one satellite
1971	乒乓外交	Ping-pong Diplomacy
1972	一个中国原则	one China policy
1973	（结婚）三大件	three popular "must-have" items
1974	兵马俑	Terra-Cotta Warriors
1975	珠穆朗玛峰（8848）	8848 height of	Mount Qomolangma
1976	粉碎“四人帮”	Smash the "gang of four"
1971	大包干	all-round contract system
1978	改革开放	the reform and opening-up policy
1979	经济特区	special economic zone
1980	下海	venture into business
1981	中国日报	CHINA DAILY
1982	中国特色社会主义	Socialism with	Chinese Characteristics
1983	春节联欢晚会	Spring Festival Gala
1984	身份证	ID card
1985	炒股	speculation/investment in the stock market
1986	女排精神	The Spirit of the Chinese Women's Volleyball Team
1987	三北防护林	Three-North Shelter Forestation Project
1988	科学技术是第一生产力	Science and technology constitute a primary productive force
1989	希望工程	Project Hope
1990	亚运会	the 11th Asian Games
1991	315晚会	315gala
1992	九二共识	the 1992 Consensus
1993	社会主义初级阶段	the primary stage of socialism
1994	三峡工程	Three-Gorges Project
1995	贺岁片	New Year blockbuster
1996	互联网	the internet
1997	一国两制	one country, two systems
1998	抗洪抢险	flood relief
1999	电子商务	e-commerce
2000	三步走战略	the three-step development strategy
2001	入世	joining the WTO
2002	世界杯	FIFA World Cup
2003	神舟五号	Shenzhou V manned spacecraft
2004	和谐社会	harmonious society
2005	选秀	talent show
2006	农业税	agricultural tax
2007	北斗导航	Beidou Navigation Satellite System
2008	北京奥运会	2008 Beijing Summer Olympics
2009	团购	group buying
2010	世博会	World Expo
2011	禁烟令	smoking ban
2012	朋友圈	WeChat Moments
2013	中国梦	Chinese dream
2014	南水北调	South-North water diversion project
2015	冬奥会申办成功	successful bidding of 2022 Winter Olympics
2016	共享经济	sharing economy
2017	撸起袖子加油干	roll up sleeves to work hard	新时代	new era
2019	不忘初心	remain true to our original aspiration
