年度	流行语
1998	冲浪、网民、东东、今年过节不收礼，收礼只收脑白金
1999	美眉、恐龙、常回家看看
2000	MM、GG、886、I服了You
2001	翠花上酸菜、猪一样的队友
2002	520、鄙视你、菜鸟、斑竹
2003	非典、神舟五号、郁闷、表酱紫、月光族、粉丝
2004	做人要厚道、沙发、顶、偶稀饭、出来混，迟早都是要还的
2005	PK、超女、XX很生气，后果很严重、忽悠、禽流感，互粉
2006	侮智商辱、你不是一个人在战斗、草根、额滴神啊
2007	VIP、0rz、晒、正龙拍虎、你太有才了
2008	打酱油、宅男宅女、山寨
2009	华丽丽地飘过、贾君鹏你妈妈喊你回家吃饭、杯具、你OUT了
2010	三俗、神马、你懂的、神马都是浮云
2011	控、萌、宅、亲、悲催、伤不起、hold不住、我反正是信了
2012	元芳，你怎么看？累不觉爱、臣妾做不到、十动然拒、吐槽
2013	逆袭、学霸、大V、奇葩、 人艰不拆、细思极恐
2014	微信红包、炸鸡啤酒、也是醉了
2015	Duang、宝宝、世界这么大我想去看看、重要的事情说三遍
2016	蓝瘦香菇，洪荒之力、吃瓜群众、小目标
2017	扎心了老铁、你的良心不会痛吗、尬聊、怼
2018	真香、人间不值得、求生欲、锦鲤、c位出道、土味情话
